destination,country,base_port,extra_cost_rub_t,distance_km,risk_factor
Энзели,Иран,Астрахань,1450,820,1.10
Амирабад,Иран,Астрахань,1550,950,1.12
Бендер-Аббас,Иран,Астрахань,2950,2380,1.20
Мумбаи,Индия,Астрахань,4200,4367,1.25
Карачи,Пакистан,Астрахань,3900,4100,1.25
Мерсин,Турция,Кавказ,2100,1250,1.12
Стамбул,Турция,Кавказ,1800,900,1.08
Александрия,Египет,Кавказ,3100,2200,1.18
Алжир,Алжир,Кавказ,3600,3000,1.22
Касабланка,Марокко,Кавказ,3900,3400,1.25
Гамбург,Германия,Усть-Луга,2200,1800,1.10
Роттердам,Нидерланды,Усть-Луга,2350,1950,1.12
